date,category,title,amount
2020-06-01,,Pagamento recebido,-1142.96
2020-06-03,lazer,Socio Rei 1/12,27
2020-06-03,serviços,Futebolcard,12
2020-06-04,supermercado,Minuto Pao Lj,13.46
2020-06-05,serviços,Futebolcard,4
2020-06-05,serviços,Futebolcard,4
2020-06-05,vestuário,Centauro Com,179.99
2020-06-06,saúde,Drogasil,28.48
2020-06-08,supermercado,Sonda Penha,71.9
2020-06-08,saúde,Rede Droga Leste,24.99
2020-06-08,supermercado,Sabores da Italia,51.48
2020-06-09,saúde,Drogaria Sao Paulo,12.57
2020-06-10,saúde,Drogaria Sao Paulo,8.77
2020-06-17,supermercado,Sabores da Italia,16
2020-06-18,supermercado,Minuto Pao Lj,25.19
2020-06-19,serviços,Udemy.Com,22.99
2020-06-22,serviços,Futebolcard,12
2020-06-22,supermercado,Pharao Tabacaria e Con,26
2020-06-22,supermercado,Sonda Penha,201.98
2020-06-22,serviços,Futebolcard,4
2020-06-22,serviços,Futebolcard,4
2020-06-24,serviços,Magalu Pagam*Magazinel,216.64
2020-06-24,saúde,Rede Droga Leste,32.98
2020-06-27,supermercado,Minuto Pao Lj,6.18
